	Condition	TFBS	Promoter	Exp_vs_Control	Reference_Control	Firefly_Repl	Firefly_Repl	Firefly_Repl	Firefly_Average	Firefly_St.Dev	Renilla_Repl	Renilla_Repl	Renilla_Repl	Renilla_Average	Renilla_St.Dev	RLU	RLU	RLU	RLU_Average	RLU_St.Dev	Fold_Change	Fold_Change	Fold_Change	FC_Average	FC_St.Dev	Date	Cell line
1	G2 WT	GATA2	TFBS	C	1	1064.112667	1501.691667	1307.542	1291.11544467	179.018097968	23877.08533	26642.94433	22321.59933	24280.5429967	1787.09992611	0.0445662714813	0.0563635778539	0.0585774334836	0.0531690942729	0.00614988938517	0.83819880874	1.06008158733	1.10171960393	1.0	0.115666619288	04/28/2017	COS-7
2	G2 CGSH	GATA2	TFBS	E	1	322.9576667	458.7916667	458.749	413.499444467	64.022707409	21232.64667	26160.95967	23824.99	23739.5321133	2012.88260037	0.0152104290963	0.0175372644004	0.0192549503693	0.017334214622	0.00165739956789	0.286076513137	0.329839442258	0.362145540236	0.326020498544	0.0311722362503	04/28/2017	COS-7
3	G2 rs148942346	GATA2	TFBS	E	1	708.235	444.7116667	454.5873333	535.844666667	121.965029053	34031.641	20964.721	26347.45	27114.604	5362.05765954	0.0208110740237	0.0212123818247	0.0172535609063	0.0197590055849	0.00177917617003	0.391412987344	0.398960751819	0.32450357002	0.371625769728	0.0334626006773	04/28/2017	COS-7
4	G2 04H112 	GATA2	TFBS	E	1	492.2246667	398.0536667	402.4503333	430.909555567	43.393469626	18070.434	29357.452	23493.44867	23640.44489	4609.0779808	0.0272392277186	0.0135588628979	0.017130321689	0.0193094707685	0.00579365247145	0.512313179133	0.255013990427	0.322185696845	0.363170955468	0.108966544393	04/28/2017	COS-7
5	G2 rs78245253	GATA2	TFBS	E	1	1651.904667	1464.767	1322.562667	1479.744778	134.869785636	31589.822	28949.69133	25960.17333	28833.2288867	2299.7693598	0.0522923069019	0.0505969816156	0.0509458334576	0.0512783739917	0.000730967104473	0.983509454449	0.951623914371	0.958185091438	0.964439486752	0.0137479698398	04/28/2017	COS-7
6	G2 rs140047487	GATA2	TFBS	E	1	1240.968333	1536.792	1374.415	1384.05844433	120.961860389	27479.952	37965.858	31951.78	32465.8633333	4296.25941298	0.0451590429634	0.0404782633913	0.0430152874112	0.042884197922	0.00191316712832	0.849347606555	0.761311885124	0.809028026515	0.806562506065	0.0359826917212	04/28/2017	COS-7
7	empty	GATA2	TFBS	E	1	338.9973333	19.46733333	73.949	144.137888877	139.570090663	15913.30767	17938.89033	12620.04033	15490.74611	2191.87287262	0.0213027574361	0.00108520276181	0.00585964846913	0.00941586955568	0.00862834130697	0.400660528967	0.0204104052675	0.110207791749	0.177092908661	0.162281141422	04/28/2017	COS-7
8	G2 WT	GATA2	LYL1-luc	C	8	9190.199	10485.84533	11831.55633	10502.5335533	1078.39417926	41201.393	52062.79567	48144.00767	47136.0654467	4491.06354398	0.223055540865	0.201407650032	0.245753457234	0.223405549377	0.0181057915884	0.998433304306	0.901533782817	1.10003291288	1.0	0.0810445024256	04/28/2017	COS-7
9	G2 CGSH	GATA2	LYL1-luc	E	8	2876.605333	2390.908	1819.668333	2362.39388867	431.963537351	116226.9843	88167.47133	69731.51433	91375.32332	19116.7451505	0.0247498922073	0.0271178016556	0.026095350868	0.025987681577	0.00096968836782	0.110784590071	0.121383742397	0.116807084429	0.116325138966	0.00434048469487	04/28/2017	COS-7
10	G2 rs148942346	GATA2	LYL1-luc	E	8	3542.643	3506.908	3860.975667	3636.84222233	159.156313771	41854.71433	41064.08733	52106.93333	45008.57833	5029.66238382	0.0846414330311	0.0854008509143	0.074097157907	0.0813798139508	0.00515893969532	0.378868981846	0.382268261251	0.331671071348	0.364269438148	0.0230922629707	04/28/2017	COS-7
11	G2 04H112 	GATA2	LYL1-luc	E	8	2989.545	3221.915667	2737.365333	2982.942	197.871938808	53086.87233	59751.15267	55160.94033	55999.65511	2784.56938313	0.056314204789	0.0539222345181	0.0496250665167	0.0532871686079	0.00276750480147	0.252071647039	0.241364794512	0.222129963446	0.238522134999	0.0123878068794	04/28/2017	COS-7
12	G2 rs78245253	GATA2	LYL1-luc	E	8	7309.060333	9526.598	8665.505667	8500.388	912.803815763	46074.078	59169.48067	56558.85833	53934.139	5659.16698483	0.158637148051	0.161005266433	0.153212174412	0.157618196299	0.00326208193424	0.710085978139	0.720686065688	0.685802903461	0.705524982429	0.0146016155075	04/28/2017	COS-7
13	G2 rs140047487	GATA2	LYL1-luc	E	8	9262.963333	9325.766667	8831.93	9140.22	219.496556944	51666.716	57363.49333	51592.03	53540.7464433	2703.26220448	0.179282990098	0.162573199881	0.171187875337	0.171014688438	0.00682284239634	0.802500164376	0.727704393799	0.766265098669	0.765489885615	0.0305401652527	04/28/2017	COS-7
14	empty	GATA2	LYL1-luc	E	8	390.5076667	691.376	766.301	616.061555567	162.397365523	38586.55267	35689.93867	25523.87033	33266.7872233	5601.31917076	0.0101203046056	0.0193717340451	0.0300229154157	0.0198383180221	0.00813190239001	0.0453001486929	0.0867110691703	0.134387509619	0.0887995758273	0.0363997331878	04/28/2017	COS-7
